Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
DG, 18.94B,2018-01-02,  86.23$,  1.13,  0.73,362,1,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.03,0.44,  1.13,  5.43,  9.77, 10.02,  1.02,N/A,N/A,N/A,N/A
INFY, 75.28B,2018-01-02,   6.73$,  0.45,  1.08,370,19,  1.06,  1.09,  1.09,  1.02,  1.03,  1.01,  1.01,0.621,  0.45,  7.09,  9.77, 10.02,  1.01,N/A,N/A,N/A,N/A
NWG, 48.14B,2018-01-02,   4.91$,  0.41,  0.71,495,1,  1.03,  1.10,  1.12,  1.07,  1.09,  1.02,  1.02,1.165,  0.82,  3.74,  9.77, 10.02,  1.02,N/A,N/A,N/A,N/A
NXPI, 48.19B,2018-01-02, 106.75$,  0.74,  0.76,3650,3,  1.02,  1.05,  1.06,  1.03,  1.04,  1.02,  1.01,1.476,  0.74,  2.07,  9.77, 10.02,  1.01,N/A,N/A,N/A,N/A
PUK, 28.06B,2018-01-02,  36.65$,  0.33,  1.24,3650,3,  1.03,  1.07,  1.10,  1.04,  1.06,  1.02,  1.02,1.252,  0.64,  2.71,  9.77, 10.02,  1.02,N/A,N/A,N/A,N/A
AME, 39.32B,2018-01-03,  69.88$,  0.88,  1.03,3650,8,  1.04,  1.12,  1.16,  1.07,  1.11,  1.04,  1.03,1.147,  0.88,  2.26,  9.15, 10.05,  1.01,N/A,N/A,N/A,N/A
EOG, 70.12B,2018-01-03,  85.31$,  1.50,  1.18,3650,7,  1.09,  1.17,  1.18,  1.08,  1.08,  1.00,  1.01,1.26,  1.50,  2.97,  9.15, 10.05,  1.04,N/A,N/A,N/A,N/A
IFF, 19.56B,2018-01-03, 129.16$,  0.76,  0.89,3650,1,  1.03,  1.10,  1.12,  1.06,  1.08,  1.02,  1.02,1.228,  1.28,  2.42,  9.15, 10.05,  1.02,N/A,N/A,N/A,N/A
PCAR, 50.87B,2018-01-03,  37.01$,  1.23,  0.75,3650,1,  1.07,  1.10,  1.11,  1.03,  1.05,  1.01,  1.01,0.917,  2.73,  5.71,  9.15, 10.05,  1.04,N/A,N/A,N/A,N/A
PSX, 49.64B,2018-01-03,  77.06$,  0.67,  0.72,3650,7,  1.07,  1.17,  1.21,  1.09,  1.13,  1.03,  1.03,1.292,  0.80,  3.76,  9.15, 10.05,  1.01,N/A,N/A,N/A,N/A
