Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
ACI,6/7 5/7,2025-04-01,  22.39$,  1.82,  0.90,380,1,  1.08,  1.15,  1.15,  1.06,  1.06,  1.00,  1.01,0.35,  2.13,  5.26, 21.77, 19.63,  1.05,6/7,5/7,N/A,N/A
ACT,6/7 5/7,2025-04-01,  35.20$,  1.29,  0.62,108,1,  1.05,  1.03,  1.05,  0.99,  1.00,  1.02,  1.01,0.591,  1.80,  3.88, 21.77, 19.63,  1.03,6/7,5/7,N/A,N/A
AM,7/7 5/7,2025-04-01,  18.27$,  1.50,  0.72,3650,1,  1.10,  1.18,  1.21,  1.08,  1.11,  1.02,  1.02,2.206,  1.50,  6.12, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
BR,7/7 7/7,2025-04-01, 244.72$,  0.93,  1.29,3650,1,  1.04,  1.09,  1.11,  1.05,  1.08,  1.02,  1.02,1.063,  2.08,  3.52, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
CIB,7/7 5/7,2025-04-01,  41.38$,  2.94,  1.78,3650,28,  1.11,  1.30,  1.32,  1.17,  1.19,  1.02,  1.03,1.102,  2.94,  4.84, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
CQP,7/7 6/7,2025-04-01,  68.04$,  3.03,  1.06,3650,1,  1.08,  1.24,  1.28,  1.15,  1.18,  1.03,  1.04,0.681,  3.28,  6.21, 21.77, 19.63,  1.07,7/7,6/7,N/A,N/A
CWEN,7/7 5/7,2025-04-01,  30.47$,  0.66,  0.95,582,1,  1.12,  1.12,  1.14,  1.00,  1.02,  1.02,  1.01,0.995,  0.66,  4.79, 21.77, 19.63,  1.01,7/7,5/7,N/A,N/A
DRI,7/7 5/7,2025-04-01, 209.54$,  0.86,  0.75,3650,1,  1.07,  1.19,  1.25,  1.11,  1.16,  1.05,  1.03,1.272,  1.38, 14.74, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
FNF,7/7 5/7,2025-04-01,  65.92$,  1.29,  1.41,3650,7,  1.09,  1.11,  1.15,  1.02,  1.06,  1.04,  1.03,1.358,  1.29,  4.75, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
HES,6/7 5/7,2025-04-01, 161.29$,  0.98,  0.84,362,1,  1.09,  1.15,  1.14,  1.05,  1.05,  1.00,  1.00,1.219,  0.98,  4.68, 21.77, 19.63,  1.02,6/7,5/7,N/A,N/A
HMN,7/7 5/7,2025-04-01,  43.44$,  1.66,  0.98,3650,7,  1.08,  1.13,  1.18,  1.06,  1.10,  1.04,  1.03,0.266,  1.66,  5.12, 21.77, 19.63,  1.03,7/7,5/7,N/A,N/A
KR,7/7 7/7,2025-04-01,  68.14$,  0.66,  0.83,3650,1,  1.07,  1.15,  1.18,  1.08,  1.11,  1.03,  1.02,0.502,  1.45,  5.11, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
MNST,7/7 5/7,2025-04-01,  59.04$,  0.89,  0.84,252,1,  1.13,  1.13,  1.15,  1.00,  1.02,  1.01,  1.01,0.711,  1.23,  7.08, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
OTIS,7/7 5/7,2025-04-01, 104.06$,  0.83,  0.94,110,1,  1.05,  1.06,  1.07,  1.01,  1.02,  1.01,  1.01,0.95,  1.07,  2.67, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
PAYX,7/7 6/7,2025-04-01, 154.59$,  0.20,  0.96,3650,1,  1.04,  1.09,  1.13,  1.05,  1.09,  1.04,  1.02,0.981,  2.15,  5.19, 21.77, 19.63,  1.05,7/7,6/7,N/A,N/A
PPC,7/7 6/7,2025-04-01,  56.26$,  3.21,  1.51,3650,6,  1.11,  1.16,  1.21,  1.05,  1.10,  1.04,  1.04,0.716,  3.21,  5.20, 21.77, 19.63,  1.09,7/7,6/7,N/A,N/A
THG,7/7 6/7,2025-04-01, 174.95$,  0.57,  0.97,3650,1,  1.07,  1.13,  1.18,  1.05,  1.10,  1.05,  1.03,0.662,  1.13,  4.76, 21.77, 19.63,  1.02,7/7,6/7,N/A,N/A
ULS,7/7 6/7,2025-04-01,  57.85$,  2.57,  2.45,3650,67,  1.08,  1.11,  1.15,  1.03,  1.06,  1.03,  1.03,,  2.57,  3.37, 21.77, 19.63,  1.06,7/7,6/7,N/A,N/A
UTF,7/7 6/7,2025-04-01,  25.63$,  0.31,  1.09,3650,1,  1.05,  1.05,  1.07,  1.00,  1.02,  1.02,  1.01,0.995,  1.32,  2.41, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
VRSN,7/7 6/7,2025-04-01, 254.98$,  0.44,  1.18,816,3,  1.10,  1.26,  1.29,  1.14,  1.17,  1.03,  1.04,0.872,  1.50,  4.88, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
WM,7/7 6/7,2025-04-01, 233.79$,  0.98,  1.01,3650,1,  1.04,  1.09,  1.10,  1.04,  1.05,  1.01,  1.01,0.762,  1.58,  6.15, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
ACI,6/7 5/7,2025-04-01,  22.39$,  1.82,  0.90,380,1,  1.08,  1.15,  1.15,  1.06,  1.06,  1.00,  1.01,0.35,  2.13,  5.26, 21.77, 19.63,  1.05,6/7,5/7,N/A,N/A
ACT,6/7 5/7,2025-04-01,  35.20$,  1.29,  0.62,108,1,  1.05,  1.03,  1.05,  0.99,  1.00,  1.02,  1.01,0.591,  1.80,  3.88, 21.77, 19.63,  1.03,6/7,5/7,N/A,N/A
AM,7/7 5/7,2025-04-01,  18.27$,  1.50,  0.72,3650,1,  1.10,  1.18,  1.21,  1.08,  1.11,  1.02,  1.02,2.206,  1.50,  6.12, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
BR,7/7 7/7,2025-04-01, 244.72$,  0.93,  1.29,3650,1,  1.04,  1.09,  1.11,  1.05,  1.08,  1.02,  1.02,1.063,  2.08,  3.52, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
CIB,7/7 5/7,2025-04-01,  41.38$,  2.94,  1.78,3650,28,  1.11,  1.30,  1.32,  1.17,  1.19,  1.02,  1.03,1.102,  2.94,  4.84, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
CQP,7/7 6/7,2025-04-01,  68.04$,  3.03,  1.06,3650,1,  1.08,  1.24,  1.28,  1.15,  1.18,  1.03,  1.04,0.681,  3.28,  6.21, 21.77, 19.63,  1.07,7/7,6/7,N/A,N/A
CWEN,7/7 5/7,2025-04-01,  30.47$,  0.66,  0.95,582,1,  1.12,  1.12,  1.14,  1.00,  1.02,  1.02,  1.01,0.995,  0.66,  4.79, 21.77, 19.63,  1.01,7/7,5/7,N/A,N/A
DRI,7/7 5/7,2025-04-01, 209.54$,  0.86,  0.75,3650,1,  1.07,  1.19,  1.25,  1.11,  1.16,  1.05,  1.03,1.272,  1.38, 14.74, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
FNF,7/7 5/7,2025-04-01,  65.92$,  1.29,  1.41,3650,7,  1.09,  1.11,  1.15,  1.02,  1.06,  1.04,  1.03,1.358,  1.29,  4.75, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
HES,6/7 5/7,2025-04-01, 161.29$,  0.98,  0.84,362,1,  1.09,  1.15,  1.14,  1.05,  1.05,  1.00,  1.00,1.219,  0.98,  4.68, 21.77, 19.63,  1.02,6/7,5/7,N/A,N/A
HMN,7/7 5/7,2025-04-01,  43.44$,  1.66,  0.98,3650,7,  1.08,  1.13,  1.18,  1.06,  1.10,  1.04,  1.03,0.266,  1.66,  5.12, 21.77, 19.63,  1.03,7/7,5/7,N/A,N/A
KR,7/7 7/7,2025-04-01,  68.14$,  0.66,  0.83,3650,1,  1.07,  1.15,  1.18,  1.08,  1.11,  1.03,  1.02,0.502,  1.45,  5.11, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
MNST,7/7 5/7,2025-04-01,  59.04$,  0.89,  0.84,252,1,  1.13,  1.13,  1.15,  1.00,  1.02,  1.01,  1.01,0.711,  1.23,  7.08, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
OTIS,7/7 5/7,2025-04-01, 104.06$,  0.83,  0.94,110,1,  1.05,  1.06,  1.07,  1.01,  1.02,  1.01,  1.01,0.95,  1.07,  2.67, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
PAYX,7/7 6/7,2025-04-01, 154.59$,  0.20,  0.96,3650,1,  1.04,  1.09,  1.13,  1.05,  1.09,  1.04,  1.02,0.981,  2.15,  5.19, 21.77, 19.63,  1.05,7/7,6/7,N/A,N/A
PPC,7/7 6/7,2025-04-01,  56.26$,  3.21,  1.51,3650,6,  1.11,  1.16,  1.21,  1.05,  1.10,  1.04,  1.04,0.716,  3.21,  5.20, 21.77, 19.63,  1.09,7/7,6/7,N/A,N/A
THG,7/7 6/7,2025-04-01, 174.95$,  0.57,  0.97,3650,1,  1.07,  1.13,  1.18,  1.05,  1.10,  1.05,  1.03,0.662,  1.13,  4.76, 21.77, 19.63,  1.02,7/7,6/7,N/A,N/A
ULS,7/7 6/7,2025-04-01,  57.85$,  2.57,  2.45,3650,67,  1.08,  1.11,  1.15,  1.03,  1.06,  1.03,  1.03,,  2.57,  3.37, 21.77, 19.63,  1.06,7/7,6/7,N/A,N/A
UTF,7/7 6/7,2025-04-01,  25.63$,  0.31,  1.09,3650,1,  1.05,  1.05,  1.07,  1.00,  1.02,  1.02,  1.01,0.995,  1.32,  2.41, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
VRSN,7/7 6/7,2025-04-01, 254.98$,  0.44,  1.18,816,3,  1.10,  1.26,  1.29,  1.14,  1.17,  1.03,  1.04,0.872,  1.50,  4.88, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
WM,7/7 6/7,2025-04-01, 233.79$,  0.98,  1.01,3650,1,  1.04,  1.09,  1.10,  1.04,  1.05,  1.01,  1.01,0.762,  1.58,  6.15, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
ACI,6/7 5/7,2025-04-01,  22.39$,  1.82,  0.90,380,1,  1.08,  1.15,  1.15,  1.06,  1.06,  1.00,  1.01,0.35,  2.13,  5.26, 21.77, 19.63,  1.05,6/7,5/7,N/A,N/A
ACT,6/7 5/7,2025-04-01,  35.20$,  1.29,  0.62,108,1,  1.05,  1.03,  1.05,  0.99,  1.00,  1.02,  1.01,0.591,  1.80,  3.88, 21.77, 19.63,  1.03,6/7,5/7,N/A,N/A
AM,7/7 5/7,2025-04-01,  18.27$,  1.50,  0.72,3650,1,  1.10,  1.18,  1.21,  1.08,  1.11,  1.02,  1.02,2.206,  1.50,  6.12, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
BR,7/7 7/7,2025-04-01, 244.72$,  0.93,  1.29,3650,1,  1.04,  1.09,  1.11,  1.05,  1.08,  1.02,  1.02,1.063,  2.08,  3.52, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
CIB,7/7 5/7,2025-04-01,  41.38$,  2.94,  1.78,3650,28,  1.11,  1.30,  1.32,  1.17,  1.19,  1.02,  1.03,1.102,  2.94,  4.84, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
CQP,7/7 6/7,2025-04-01,  68.04$,  3.03,  1.06,3650,1,  1.08,  1.24,  1.28,  1.15,  1.18,  1.03,  1.04,0.681,  3.28,  6.21, 21.77, 19.63,  1.07,7/7,6/7,N/A,N/A
CWEN,7/7 5/7,2025-04-01,  30.47$,  0.66,  0.95,582,1,  1.12,  1.12,  1.14,  1.00,  1.02,  1.02,  1.01,0.995,  0.66,  4.79, 21.77, 19.63,  1.01,7/7,5/7,N/A,N/A
DRI,7/7 5/7,2025-04-01, 209.54$,  0.86,  0.75,3650,1,  1.07,  1.19,  1.25,  1.11,  1.16,  1.05,  1.03,1.272,  1.38, 14.74, 21.77, 19.63,  1.04,7/7,5/7,N/A,N/A
FNF,7/7 5/7,2025-04-01,  65.92$,  1.29,  1.41,3650,7,  1.09,  1.11,  1.15,  1.02,  1.06,  1.04,  1.03,1.358,  1.29,  4.75, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
HES,6/7 5/7,2025-04-01, 161.29$,  0.98,  0.84,362,1,  1.09,  1.15,  1.14,  1.05,  1.05,  1.00,  1.00,1.219,  0.98,  4.68, 21.77, 19.63,  1.02,6/7,5/7,N/A,N/A
HMN,7/7 5/7,2025-04-01,  43.44$,  1.66,  0.98,3650,7,  1.08,  1.13,  1.18,  1.06,  1.10,  1.04,  1.03,0.266,  1.66,  5.12, 21.77, 19.63,  1.03,7/7,5/7,N/A,N/A
KR,7/7 7/7,2025-04-01,  68.14$,  0.66,  0.83,3650,1,  1.07,  1.15,  1.18,  1.08,  1.11,  1.03,  1.02,0.502,  1.45,  5.11, 21.77, 19.63,  1.04,7/7,7/7,N/A,N/A
MNST,7/7 5/7,2025-04-01,  59.04$,  0.89,  0.84,252,1,  1.13,  1.13,  1.15,  1.00,  1.02,  1.01,  1.01,0.711,  1.23,  7.08, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
OTIS,7/7 5/7,2025-04-01, 104.06$,  0.83,  0.94,110,1,  1.05,  1.06,  1.07,  1.01,  1.02,  1.01,  1.01,0.95,  1.07,  2.67, 21.77, 19.63,  1.02,7/7,5/7,N/A,N/A
PAYX,7/7 6/7,2025-04-01, 154.59$,  0.20,  0.96,3650,1,  1.04,  1.09,  1.13,  1.05,  1.09,  1.04,  1.02,0.981,  2.15,  5.19, 21.77, 19.63,  1.05,7/7,6/7,N/A,N/A
PPC,7/7 6/7,2025-04-01,  56.26$,  3.21,  1.51,3650,6,  1.11,  1.16,  1.21,  1.05,  1.10,  1.04,  1.04,0.716,  3.21,  5.20, 21.77, 19.63,  1.09,7/7,6/7,N/A,N/A
THG,7/7 6/7,2025-04-01, 174.95$,  0.57,  0.97,3650,1,  1.07,  1.13,  1.18,  1.05,  1.10,  1.05,  1.03,0.662,  1.13,  4.76, 21.77, 19.63,  1.02,7/7,6/7,N/A,N/A
ULS,7/7 6/7,2025-04-01,  57.85$,  2.57,  2.45,3650,67,  1.08,  1.11,  1.15,  1.03,  1.06,  1.03,  1.03,,  2.57,  3.37, 21.77, 19.63,  1.06,7/7,6/7,N/A,N/A
UTF,7/7 6/7,2025-04-01,  25.63$,  0.31,  1.09,3650,1,  1.05,  1.05,  1.07,  1.00,  1.02,  1.02,  1.01,0.995,  1.32,  2.41, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
VRSN,7/7 6/7,2025-04-01, 254.98$,  0.44,  1.18,816,3,  1.10,  1.26,  1.29,  1.14,  1.17,  1.03,  1.04,0.872,  1.50,  4.88, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
WM,7/7 6/7,2025-04-01, 233.79$,  0.98,  1.01,3650,1,  1.04,  1.09,  1.10,  1.04,  1.05,  1.01,  1.01,0.762,  1.58,  6.15, 21.77, 19.63,  1.03,7/7,6/7,N/A,N/A
ACI,6/7 5/7,2025-04-01,  22.39$,  1.82,  0.90,380,1,  1.08,  1.15,  1.15,  1.06,  1.06,  1.00,  1.01,0.35,  2.13,  5.26, 21.77, 19.63,  1.05,6/7,5/7,N/A,N/A
